;label;score;sentence
0;neutral;0.8998394012451172;IEITTESALTENTR Alles ist drin
1;neutral;0.9719411134719849;Bundestagswahlprogramm
2;neutral;0.8118558526039124;Bereit, weil Ihr es seid
3;neutral;0.975203275680542;Dieses Bundestagswahlprogramm wurde auf der  Bundesdelegiertenkonferenz von BÜNDNIS DIE GRÜNEN beschlossen, die vom bis  Juni digital stattgefunden hat
4;neutral;0.5510324835777283;Herausgeberin:  BÜNDNIS DIE GRÜNEN Platz vor dem Neuen Tor
5;neutral;0.9818499684333801;Berlin  Telefon:  Fax: E-Mail: info@gruene
6;neutral;0.9595484733581543;de Internet: gruene
7;neutral;0.9202948212623596;de  V
8;neutral;0.6661202311515808;:  BÜNDNIS DIE GRÜNEN Annkathrin Schäfer  Platz vor dem Neuen Tor
9;neutral;0.9670233130455017;Berlin  Layout und Satz: Twentyfour Seven Creative Media Service GmbH, Berlin twentyfour-/
10;neutral;0.9557929635047913;de  Titelgestaltung: neues tor eins Kommunikationsberatung GmbH, Berlin  Druck: Frank Druck GmbH & Co
11;neutral;0.962643563747406;KG, Preetz www
12;neutral;0.9186204075813293;eversfrank
13;neutral;0.9827425479888916;com Bundestagswahlprogramm
14;neutral;0.9342995882034302;Inhalt  Bereit, weil Ihr es seid
15;neutral;0.9736852645874023;Eine Einladung  Kapitel  Lebensgrundiagen schützen Wir schaffen klimagerechten Wohlstand  Wir schaffen Versorgungssicherheit mit Erneuerbaren  Wir sorgen für nachhaltige Mobilität  Wir schützen Natur und Umwelt für ein gutes Leben  Wir stärken Bäuer*innen, Tiere und Natur  Wir ermöglichen Tieren ein besseres Leben  Kapitel  In die Zukunft wirtschaften  Wir fördern Unternehmer*innengeist, Wettbewerb und Ideen  Wir geben dem Markt einen sozial- ökologischen Rahmen  Wir bringen die Digitalisierung voran  Wir kämpfen für einen fairen und nachhaltigen Handel  Wir machen die Finanzmärkte stabiler und nachhaltiger   Bundestagswahlprogramm
16;neutral;0.9281306266784668;BÜNDNIS DIE GRÜNEN  /          Bundestagswahlprogramm
17;neutral;0.9488068222999573;Wir vollenden die Europäische Wirtschafts-  und Währungsunion
18;neutral;0.9627184867858887;Wir haushalten solide, weitsichtig und gerecht
19;neutral;0.9803491234779358;Kapitel  Solidarität sichern
20;neutral;0.7746223211288452;Wir fördern Kinder, Jugendliche und Familien
21;neutral;0.9838675260543823;Wir sorgen für gute Arbeit und faire Löhne
22;neutral;0.6941494941711426;Wir schaffen Gerechtigkeit zwischen den Geschlechtern
23;neutral;0.8947497606277466;Wir sichern die sozialen Netze
24;neutral;0.9705545902252197;Wir geben Gesundheit und Pflege einen  neuen Wert
25;neutral;0.9679811596870422;Wir schaffen bezahlbaren Wohnraum
26;neutral;0.951399028301239;Wir investieren in lebenswerte Dörfer und Städte
27;neutral;0.9640468955039978;Kapitel  Bildung und Forschung ermöglichen
28;neutral;0.9844021797180176;Wir fördern gute Bildung von Anfang an
29;neutral;0.9714203476905823;Wir stärken Ausbildung und Studium
30;neutral;0.9719181656837463;Wir ermöglichen lebensbegleitendes Lernen
31;neutral;0.9839925169944763;Wir verbessern die Bedingungen für die Wissenschaft
32;neutral;0.6863082051277161;Bundestagswahlprogramm BÜNDNIS DIE GRÜNEN  Inhalt Inhalt  Bereit, weil Ihr es seid
