,sequence,labels,scores,Top 3
0,"> | >"" EZDRESPEKT  VOR DEINER AU] ( |",bildung,0.21429981291294098,"[('bildung', 0.21429981291294098), ('politik und ideologie', 0.16348040103912354), ('none', 0.16251564025878906)]"
0,> *  DAS ZUKUNFTSPROGRAMM DER SPD  WOFÜR WIR STEHEN,politik und ideologie,0.46061187982559204,"[('politik und ideologie', 0.46061187982559204), ('bildung', 0.1414678543806076), ('none', 0.10859979689121246)]"
0,WAS UNS ANTREIBT,none,0.7264875769615173,"[('none', 0.7264875769615173), ('bildung', 0.08294478058815002), ('wirtschaft', 0.04492644965648651)]"
0,WONACH WIR STREBEN,wirtschaft,0.48010194301605225,"[('wirtschaft', 0.48010194301605225), ('bildung', 0.1772998869419098), ('gesundheit', 0.07847093790769577)]"
0,Soziale Politik für Dich,politik und ideologie,0.527452290058136,"[('politik und ideologie', 0.527452290058136), ('soziale ursachen', 0.20935319364070892), ('bildung', 0.11618087440729141)]"
0,Zukunft,gesundheit,0.19358152151107788,"[('gesundheit', 0.19358152151107788), ('bildung', 0.1793765127658844), ('none', 0.12337329238653183)]"
0,Respekt,gesundheit,0.1861811727285385,"[('gesundheit', 0.1861811727285385), ('bildung', 0.18007279932498932), ('soziale ursachen', 0.1687304824590683)]"
0,Europa,bildung,0.23954111337661743,"[('bildung', 0.23954111337661743), ('politik und ideologie', 0.16215667128562927), ('wirtschaft', 0.14338700473308563)]"
0,>»,bildung,0.24802236258983612,"[('bildung', 0.24802236258983612), ('gesundheit', 0.13853956758975983), ('none', 0.12097741663455963)]"
0,Zukunftsichern,none,0.19259367883205414,"[('none', 0.19259367883205414), ('bildung', 0.18513308465480804), ('soziale ursachen', 0.17799441516399384)]"
0,: cc con ‚,bildung,0.28575560450553894,"[('bildung', 0.28575560450553894), ('none', 0.15136994421482086), ('soziale ursachen', 0.11980678886175156)]"
0,Respekterneuern,gesundheit,0.2756183445453644,"[('gesundheit', 0.2756183445453644), ('bildung', 0.2197631597518921), ('soziale ursachen', 0.10372022539377213)]"
