text,topic,label,score,hate_label,hate_score,labels,scores,Top 3
bundesausbildungsförderungsgesetz bafög zukunft jung erwachsene erreichen,Bildung,neutral,0.6085309982299805,neutral,0.9886702299118042,bildung,0.4616755545139313,"[('bildung', 0.4616755545139313), ('gesundheit', 0.2685599625110626), ('soziale ursachen', 0.06208990886807442)]"
ziel hilfsbedürftig lebenslage gemeinsam bezwingen be schäftigung falls erforderlich qualifizierung weiterbildung ermöglichen,Bildung,neutral,0.6455543041229248,neutral,0.9821714162826538,bildung,0.2925004661083221,"[('bildung', 0.29250046610832214), ('gesundheit', 0.2668613791465759), ('wirtschaft', 0.10094844549894333)]"
datenschutz gewährleisten geeignet rahmenbedingung gro ßen plattform gesundheitswirtschaft dominieren,Gesundheit,neutral,0.6039836406707764,neutral,0.981410264968872,gesundheit,0.4783477783203125,"[('gesundheit', 0.4783477783203125), ('wirtschaft', 0.2220853567123413), ('bildung', 0.12299909442663193)]"
säule dauerhaft ausweitung pandemiebedingt erhöht kinderkrank pro kind elternteil elterngeld akut kind maximal pro elternteil alleinerziehend,Gesundheit,neutral,0.7086147665977478,neutral,0.9520012140274048,gesundheit,0.2268085926771164,"[('gesundheit', 0.2268085926771164), ('bildung', 0.22274363040924072), ('soziale ursachen', 0.20145323872566223)]"
sorgen gleichwertig le bensverhältnisse stadt land,Infrastruktur,neutral,0.7304743528366089,neutral,0.98405784368515,bildung,0.2780881822109222,"[('bildung', 0.27808818221092224), ('gesundheit', 0.14240142703056335), ('wirtschaft', 0.12439681589603424)]"
bürgergeld digital unkompliziert zugänglich,Infrastruktur,neutral,0.8224790096282959,neutral,0.989812672138214,gesundheit,0.4405793845653534,"[('gesundheit', 0.4405793845653534), ('bildung', 0.2667250633239746), ('soziale ursachen', 0.07952043414115906)]"
kombination maßnahme umweltbonus kauf elektroauto förderprogram- men heizungstausch sorgen klimafreundlich alternative attraktiv,Klima,neutral,0.611627459526062,neutral,0.9883198738098145,gesundheit,0.3358089923858642,"[('gesundheit', 0.33580899238586426), ('klima', 0.3010140657424927), ('bildung', 0.1961440145969391)]"
gehören einreiseverbot einfrieren konto,Klima,neutral,0.6086252927780151,neutral,0.934700608253479,bildung,0.4022923707962036,"[('bildung', 0.4022923707962036), ('gesundheit', 0.22472244501113892), ('soziale ursachen', 0.07457998394966125)]"
corona-krise erneut zeigen sozial sicherung minijob unzureichend,Politik und Ideologie,negativ,0.7479233145713806,neutral,0.98792165517807,gesundheit,0.3311130106449127,"[('gesundheit', 0.3311130106449127), ('bildung', 0.2590368986129761), ('soziale ursachen', 0.1739746481180191)]"
mensch wunsch verwirk- lich ziel erreichen,Politik und Ideologie,neutral,0.6062629222869873,neutral,0.9739434719085692,gesundheit,0.2261306494474411,"[('gesundheit', 0.2261306494474411), ('bildung', 0.21407586336135864), ('politik und ideologie', 0.1377626210451126)]"
sorgen geeignet dach solaranlage bekommen,Wissenschaft,neutral,0.5968793034553528,neutral,0.9902722239494324,gesundheit,0.2856222987174988,"[('gesundheit', 0.2856222987174988), ('bildung', 0.17810523509979248), ('wirtschaft', 0.12992863357067108)]"
exzellenzstrategie entwickeln ergänzen unterstützung regional kooperation hochschule forschungseinrichtung,Wissenschaft,neutral,0.6769217848777771,neutral,0.9792226552963256,bildung,0.4726242125034332,"[('bildung', 0.4726242125034332), ('gesundheit', 0.10139093548059464), ('soziale ursachen', 0.08937039971351624)]"
wertschätzung jeder einzelner unterschied,soziale Ursachen,neutral,0.5839583277702332,neutral,0.9895064234733582,wissenschaft,0.314318299293518,"[('wissenschaft', 0.31431829929351807), ('bildung', 0.2142307311296463), ('none', 0.15991127490997314)]"
schienenverkehr schwerpunkt verkehrspolitisch agenda,soziale Ursachen,neutral,0.8663657307624817,neutral,0.9625158905982972,politik und ideologie,0.6001558899879456,"[('politik und ideologie', 0.6001558899879456), ('bildung', 0.13625913858413696), ('gesundheit', 0.07330527156591415)]"
sozial politik zukunftsprogramm spd,wirtschaft,neutral,0.7876343727111816,neutral,0.9441074132919312,politik und ideologie,0.5687914490699768,"[('politik und ideologie', 0.5687914490699768), ('soziale ursachen', 0.22333815693855286), ('bildung', 0.08226475864648819)]"
sozial politik zukunftsprogramm spd,wirtschaft,neutral,0.7876343727111816,neutral,0.9441074132919312,politik und ideologie,0.5687914490699768,"[('politik und ideologie', 0.5687914490699768), ('soziale ursachen', 0.22333815693855286), ('bildung', 0.08226475864648819)]"
