text;topic;label;score;hate_label;hate_score;labels;scores;Top 3
e besonderer sprachförderbedarf feststellen verpflichtend qualitativ wirksam durchgehend sprachförderung kindertagesstätte vorschule erteilen;Bildung;Neutral;0.7880480885505676;Neutral;0.9871639013290404;Bildung;0.3379838466644287;
notwendig transformation begleiten bedeutung projektarbeit stärken prozessbegleitend beratung weiterbildung fördern rechtsfra- gen klären;Wirtschaft;Neutral;0.6837931871414185;Neutral;0.9850748777389526;Wirtschaft;0.266405701637268;
investieren früh bildung ferienfreizeit familienerholung zusätzlich sozialarbeit;soziale Ursachen;Neutral;0.7413460612297058;Neutral;0.9891933798789978;soziale Ursachen;0.4336075484752655;
chance digitalisierung künstlichen intelligenz nutzen;Wissenschaft;Neutral;0.520008385181427;Neutral;0.9883588552474976;Wissenschaft;0.3039723932743072;
mensch bahn fahrrad umsteigen weiterhin land gut straße auto bus unterwegs;Infrastruktur;positiv;0.723962128162384;Neutral;0.9717734456062316;Infrastruktur;0.3036670982837677;
gesamt bürgerlich vertragsrecht insbesondere elektro- nisch rechtsverkehr modernisieren;Infrastruktur;Neutral;0.8178136348724365;Neutral;0.9863839745521544;Infrastruktur;0.2802976667881012;
gehören energiegewinnung sonne wind genauso nachhaltig biomaß wasserkraft geothermie ländlich raum;Klima;Neutral;0.8574150800704956;Neutral;0.9718481302261353;Klima;0.2788100242614746;
  transformation notwendig technologie existieren;Wissenschaft;Neutral;0.7498705983161926;Neutral;0.9893594980239868;Wissenschaft;0.4229326248168945;
pande miebedingen kind erwachsene sport schmerzlich vermissen sportver sportstättenbetreiber stark beuteln;Gesundheit;negativ;0.8479467034339905;Neutral;0.9874786138534546;Gesundheit;0.3977568745613098;
leistungsfähigkeit modern staat bürgerin bürger   unions-versprechen verlässlich leistungsfähig staat sorgen verwaltung einfach nutzerfreundlich;Politik und Ideologie;Neutral;0.5267903804779053;Neutral;0.9895483255386353;Politik und Ideologie;0.3720587790012359;
e beginnen behörde forschungseinrichtung dezentralisie- ren osten deutschland ansiedeln;Bildung;Neutral;0.7502055168151855;Neutral;0.9811232686042786;Bildung;0.3161104321479797;
attrakti ven angebot deutsch bahn maximal synergie güter perso nenverkehr unser schienensystem nutzen;Infrastruktur;Neutral;0.4945440292358398;Neutral;0.9854807257652284;Infrastruktur;0.2854368388652801;
e gemeinsam agrarpolitik gap systemwechsel erfolgen ökologisch nachhaltigkeit;Klima;Neutral;0.7867763638496399;Neutral;0.9866016507148744;Klima;0.3516181111335754;
fairness sozial sicherheit gesellschaftlich   zusammenhalt;soziale Ursachen;Neutral;0.6937426328659058;Neutral;0.9678046107292176;soziale Ursachen;0.3111279904842376;
sicher arbeit zukunft;Wirtschaft;positiv;0.5952911972999573;Neutral;0.9155495166778564;Wirtschaft;0.309826135635376;
versorgung al- len leistung daseinsvorsorge gut dienstleistung vor-ort-angebote digital möglichkeit anbindung zusammenbringen;Wirtschaft;Neutral;0.6341117024421692;Neutral;0.983630359172821;Wirtschaft;0.2528705894947052;
